;;ÖÐR.;PUAN;GENEL;OK.BÝR.;ÞEHÝT VE;34 YAÞ;DEPREM-;;2024-YKS;2024-YKS;;AKREDÝ-
PROGRAM;PROGRAM ADI (2);SÜRE ;TÜRÜ;KONT. ;KONT. ;GAZÝ YAK.;ÜSTÜ KADIN;ZEDE ADAY;ÖZEL KOÞUL VE ;BAÞARI;EN KÜÇÜK;TYÇ;TASYON
KODU (1);;(3);(4);(5);(6);KONT. (7);KONT. (8);KONT. (9);AÇIKLAMALAR (10);SIRASI (11);PUAN (12);(13);(14)
;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
101990071;  Çevre Koruma ve Kontrol;2;TYT;30;1;;1;;;1635366;250.99432;;
101950033;  Elektrik;2;TYT;40;1;;1;;;1274934;272.73046;;
101950712;  Elektrik Enerjisi Üretim, Ýletim ve Daðýtýmý;2;TYT;35;1;;1;;;1524924;257.44592;;
101950536;  Elektronik Haberleþme Teknolojisi;2;TYT;35;1;;1;;;1621891;251.77583;;
101950545;  Elektronik Teknolojisi;2;TYT;35;1;;1;;;1491362;259.43277;;
101990054;  Gýda Kalite Kontrolü ve Analizi;2;TYT;30;1;;1;;;1638662;250.80460;;
101950078;  Gýda Teknolojisi;2;TYT;35;1;;1;;;1490833;259.46460;;
101990030;  Hibrid ve Elektrikli Taþýtlar Teknolojisi;2;TYT;45;2;;2;;;764820;309.73297;;
101990127;  Hibrid ve Elektrikli Taþýtlar Teknolojisi (KKTC Uyruklu);2;TYT;1;;;;;5;...;----;;
101990023;  Ýç Mekan Tasarýmý;2;TYT;45;2;;2;;;1390808;265.52711;;
101950615;  Ýnþaat Teknolojisi;2;TYT;40;1;;1;;;1781918;242.65414;;
101950518;  Kimya Teknolojisi;2;TYT;20;1;;1;;;1320668;269.86991;;
101950554;  Kontrol ve Otomasyon Teknolojisi;2;TYT;30;1;;1;;;1359606;267.46150;;
101950103;  Makine;2;TYT;40;1;;1;;;1211589;276.82584;;
101990029;  Mekatronik;2;TYT;40;1;;1;;;1071924;286.14582;;
101990041;  Metalurji;2;TYT;30;1;;1;;;1821935;240.41800;;
101950633;  Otomotiv Teknolojisi;2;TYT;30;1;;1;;;1299760;271.17576;;
101990039;  Peyzaj ve Süs Bitkileri Yetiþtiriciliði;2;TYT;25;1;;1;;;1796014;241.85649;;
101950678;  Üretimde Kalite Kontrol;2;TYT;35;1;;1;;;1682969;248.25726;;
;Osmaneli Meslek Yüksekokulu;;;;;;;;;;;;
101950209;  Dýþ Ticaret;2;TYT;30;1;;1;;;1836524;239.60492;;
101950218;  Elektrik;2;TYT;40;1;;1;;;1525465;257.41336;;
101990064;  Evde Hasta Bakýmý;2;TYT;40;1;;1;;;862283;301.59070;;
101950739;  Ýþ Saðlýðý ve Güvenliði;2;TYT;30;1;;1;;;1451539;261.82175;;
101950236;  Makine;2;TYT;40;1;;1;;;1488952;259.58106;;
101950475;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1839088;239.46241;;
101950403;  Saðlýk Kurumlarý Ýþletmeciliði;2;TYT;30;1;;1;;;1557805;255.51719;;
101990032;  Týbbi Dokümantasyon ve Sekreterlik;2;TYT;30;1;;1;;;717549;313.98683;;
101990055;  Turizm ve Otel Ýþletmeciliði;2;TYT;25;1;;1;;;1767238;243.48574;;
;Pazaryeri Meslek Yüksekokulu;;;;;;;;;;;;
101950757;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;;1890277;236.62332;;
101950572;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;1112066;283.41154;;
101950421;  Endüstri Ürünleri Tasarýmý;2;TYT;30;1;;1;;;1806033;241.30377;;
101990056;  Ýnternet ve Að Teknolojileri;2;TYT;50;2;;2;;;1581929;254.11502;;
101950599;  Týbbi Tanýtým ve Pazarlama;2;TYT;40;1;;1;;;1849717;238.87205;;
101990057;  Web Tasarýmý ve Kodlama;2;TYT;50;2;;2;;;1283694;272.17925;;
;Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
101990078;  Ameliyathane Hizmetleri;2;TYT;40;1;;1;;;641266;321.31968;;
101950845;  Çocuk Geliþimi;2;TYT;35;1;;1;;;1017547;289.97039;;
101990092;  Diyaliz;2;TYT;30;1;;1;;;724442;313.34986;;
101990033;  Eczane Hizmetleri;2;TYT;35;1;;1;;;736984;312.19699;;
101950784;  Ýlk ve Acil Yardým;2;TYT;35;1;;1;;;530710;333.51902;;
101990034;  Optisyenlik;2;TYT;40;1;;1;;;810419;305.83982;;
101990035;  Týbbi Dokümantasyon ve Sekreterlik;2;TYT;30;1;;1;;;632270;322.21947;;
101950818;  Týbbi Laboratuvar Teknikleri;2;TYT;50;2;;2;;;625767;322.88757;;
;Söðüt Meslek Yüksekokulu;;;;;;;;;;;;
101990024;  Aþçýlýk;2;TYT;50;2;;2;;;1338363;268.77110;;
101990040;  Basým ve Yayým Teknolojileri;2;TYT;30;1;;1;;;1932406;234.30935;;
101950581;  Bilgisayar Programcýlýðý;2;TYT;50;2;;2;;;1163404;279.96526;;
101950696;  Büro Yönetimi ve Yönetici Asistanlýðý;2;TYT;25;1;;1;;;1712435;246.58451;;
101950863;  Halkla Ýliþkiler ve Tanýtým;2;TYT;40;1;;1;;;1891802;236.53318;;
101990015;  Ýç Mekan Tasarýmý;2;TYT;40;1;;1;;;1839455;239.44179;;
101990099;  Mahkeme Büro Hizmetleri;2;TYT;30;1;;1;;;1137713;281.69474;;
101950854;  Moda Tasarýmý;2;TYT;35;1;;1;;;1696260;247.50668;;
101950836;  Sosyal Güvenlik;2;TYT;80;2;;2;;;1852410;238.72125;;
;BÝNGÖL ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;
;Biliþim Teknolojileri Meslek Yüksekokulu;;;;;;;;;;;;
102090273;  Bilgisayar Programcýlýðý;2;TYT;50;2;;2;;;1143678;281.28413;;
102090280;  Web Tasarýmý ve Kodlama;2;TYT;50;2;;2;;;1547007;256.15071;;
;Bingöl Sosyal Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
102090058;  Aþçýlýk;2;TYT;50;2;;2;;;1377442;266.34378;;
102050224;  Büro Yönetimi ve Yönetici Asistanlýðý;2;TYT;35;1;;1;;;1481753;260.00713;;
102050427;  Çaðrý Merkezi Hizmetleri;2;TYT;40;1;;1;;;1587063;253.81038;;
102090096;  E-Ticaret ve Pazarlama;2;TYT;30;1;;1;;;1639836;250.73862;;
102050287;  Halkla Ýliþkiler ve Tanýtým;2;TYT;40;1;;1;;;1795593;241.88198;;
102050418;  Ýþ Saðlýðý ve Güvenliði;2;TYT;30;1;;1;;;1516703;257.92992;;
102050181;  Ýþletme Yönetimi;2;TYT;25;1;;1;;;1806415;241.28441;;
102050481;  Maliye;2;TYT;40;1;;1;;;1812508;240.94295;;
102050296;  Medya ve Ýletiþim;2;TYT;30;1;;1;;;1904493;235.83800;;
102050118;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1637123;250.89607;;
102090057;  Özel Güvenlik ve Koruma;2;TYT;40;1;;1;;2;1385271;265.86834;;
102090095;  Sivil Havacýlýk Kabin Hizmetleri;2;TYT;40;1;;1;;10;1067428;286.46158;;
102090076;  Sosyal Güvenlik;2;TYT;50;2;;2;;;1554138;255.73669;;
102090062;  Turist Rehberliði;2;TYT;20;1;;1;;;1455628;261.57406;;
102090126;  Turizm ve Otel Ýþletmeciliði;2;TYT;20;1;;1;;;1710320;246.70508;;
102090065;  Yerel Yönetimler;2;TYT;20;1;;1;;;1882560;237.05035;;
;Bingöl Teknik Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
102050533;  Alternatif Enerji Kaynaklarý Teknolojisi;2;TYT;20;1;;1;;;1848573;238.93528;;
102090203;  Doðalgaz ve Tesisatý Teknolojisi;2;TYT;20;1;;1;;;1903169;235.91059;;
102050039;  Elektrik;2;TYT;35;1;;1;;;1268497;273.14320;;
102090097;  Elektronik Haberleþme Teknolojisi;2;TYT;20;1;;1;;;1756592;244.08630;;
102090287;  Giyim Üretim Teknolojisi;2;TYT;20;1;;1;;;...;----;;
102090105;  Grafik Tasarýmý;2;TYT;30;1;;1;;;1716864;246.33839;;
102090106;  Halýcýlýk ve Kilimcilik;2;TYT;20;1;;1;;;1915870;235.21499;;
102050454;  Harita ve Kadastro;2;TYT;30;1;;1;;;1561747;255.28948;;
102090088;  Ýç Mekan Tasarýmý;2;TYT;30;1;;1;;;1688464;247.94716;;
102050145;  Ýnþaat Teknolojisi;2;TYT;40;1;;1;;;1860656;238.26561;;
102090077;  Makine;2;TYT;35;1;;1;;;1777879;242.88472;;
102050348;  Mekatronik;2;TYT;25;1;;1;;;1556904;255.57326;;
102090079;  Otomotiv Teknolojisi;2;TYT;30;1;;1;;;1636651;250.92177;;
;Genç Meslek Yüksekokulu;;;;;;;;;;;;
102090087;  Biliþim Güvenliði Teknolojisi;2;TYT;50;2;;2;;;1843495;239.21875;;
102050393;  Çocuk Geliþimi;2;TYT;20;1;;1;;;1498088;259.03487;;
102050384;  Elektrik;2;TYT;20;1;;1;;;1652284;250.02137;;
102050542;  Ormancýlýk ve Orman Ürünleri;2;TYT;30;1;;1;;;1032318;288.91768;;
102090081;  Saðlýk Bilgi Sistemleri Teknikerliði;2;TYT;30;1;;1;;;1531382;257.06985;;
102050515;  Sivil Savunma ve Ýtfaiyecilik;2;TYT;70;2;;;;9;1266282;273.28589;;
;Gýda, Tarým ve Hayvancýlýk Meslek Yüksekokulu;;;;;;;;;;;;
102050012;  Arýcýlýk;2;TYT;20;1;;1;;;1803569;241.43733;;
102050242;  Bahçe Tarýmý;2;TYT;20;1;;1;;;1906101;235.74784;;
102090107;  Gýda Kalite Kontrolü ve Analizi;2;TYT;30;1;;1;;;1937207;234.04749;;
102090108;  Gýda Teknolojisi;2;TYT;30;1;;1;;;1896593;236.26882;;
102050251;  Laborant ve Veteriner Saðlýk;2;TYT;60;2;;2;;;1240592;274.94173;;
102090217;  Organik Tarým;2;TYT;20;1;;1;;;1991568;231.09865;;
102090294;  Peyzaj ve Süs Bitkileri Yetiþtiriciliði;2;TYT;15;1;;1;;;1916029;235.20640;;
102090224;  Sulama Teknolojisi;2;TYT;20;1;;1;;;1933034;234.27424;;
102090066;  Süt ve Ürünleri Teknolojisi;2;TYT;25;1;;1;;;1871890;237.64320;;
102050093;  Tarla Bitkileri;2;TYT;25;1;;1;;;1756693;244.08130;;
102090231;  Týbbi ve Aromatik Bitkiler;2;TYT;20;1;;1;;;1955359;233.06079;;
;Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
102090082;  Aðýz ve Diþ Saðlýðý;2;TYT;40;1;;1;;;524620;334.27188;;
102090099;  Çevre Saðlýðý;2;TYT;40;1;;1;;;867157;301.21078;;
102050303;  Çocuk Geliþimi;2;TYT;30;1;;1;;;1198462;277.66757;;
102090083;  Çocuk Koruma ve Bakým Hizmetleri;2;TYT;40;1;;1;;;1408353;264.44951;;
102090084;  Diþ Protez Teknolojisi;2;TYT;40;1;;1;;;641577;321.28788;;
102090098;  Diyaliz;2;TYT;40;1;;1;;;749160;311.10314;;
102090067;  Eczane Hizmetleri;2;TYT;35;1;;1;;;740918;311.84105;;
102090119;  Engelli Bakýmý ve Rehabilitasyon;2;TYT;40;1;;1;;;1141600;281.42785;;
102090133;  Evde Hasta Bakýmý;2;TYT;40;1;;1;;;591211;326.55953;;
102050445;  Fizyoterapi;2;TYT;40;1;;1;;;792206;307.37669;;
102090064;  Ýlk ve Acil Yardým;2;TYT;40;1;;1;;;499687;337.47296;;
102090094;  Odyometri;2;TYT;30;1;;1;;;816732;305.30454;;
102050524;  Optisyenlik;2;TYT;30;1;;1;;;947601;295.07627;;
102050206;  Patoloji Laboratuvar Teknikleri;2;TYT;40;1;;1;;;832223;304.03480;;
102050436;  Saðlýk Kurumlarý Ýþletmeciliði;2;TYT;30;1;;1;;;1424080;263.47711;;
102050312;  Týbbi Dokümantasyon ve Sekreterlik;2;TYT;30;1;;1;;;637900;321.65168;;
102050199;  Týbbi Laboratuvar Teknikleri;2;TYT;40;1;;1;;;670612;318.40971;;
102050366;  Yaþlý Bakýmý;2;TYT;60;2;;2;;;913460;297.63047;;
;Solhan Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
102050472;  Çocuk Geliþimi;2;TYT;30;1;;1;;;1511879;258.21512;;
102050499;  Týbbi Dokümantasyon ve Sekreterlik;2;TYT;30;1;;1;;;800184;306.69240;;
102050506;  Týbbi Laboratuvar Teknikleri;2;TYT;40;1;;1;;;804611;306.32629;;
;BÝTLÝS EREN ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;
;Adilcevaz Meslek Yüksekokulu;;;;;;;;;;;;
102150365;  Bilgisayar Programcýlýðý;2;TYT;50;2;;2;;;1534199;256.90179;;
102190141;  Elektronik Haberleþme Teknolojisi;2;TYT;45;2;;2;;;1887251;236.79023;;
102190113;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1924153;234.75945;;
102150762;  Özel Güvenlik ve Koruma;2;TYT;45;2;;2;;2;1550621;255.94023;;
102190020;  Posta Hizmetleri;2;TYT;45;2;;2;;;1991859;231.08125;;
;Ahlat Meslek Yüksekokulu;;;;;;;;;;;;
102150841;  Bankacýlýk ve Sigortacýlýk;2;TYT;30;1;;1;;;1760796;243.84474;;
102190049;  Eser Koruma;2;TYT;30;1;;1;;;1988752;231.24699;;
102150577;  Maliye;2;TYT;30;1;;1;;;1935697;234.12704;;
102150753;  Mimari Dekoratif Sanatlar;2;TYT;30;1;;1;;;1997513;230.77644;;
102190197;  Ofis Teknolojileri ve Veri Yönetimi;2;TYT;30;1;;1;;;...;----;;
102190039;  Seramik ve Cam Tasarýmý;2;TYT;30;1;;1;;;2036767;228.65405;;
;Güroymak Meslek Yüksekokulu;;;;;;;;;;;;
102190064;  Fotoðrafçýlýk ve Kameramanlýk;2;TYT;30;1;;1;;;1946669;233.53754;;
102190071;  Halkla Ýliþkiler ve Tanýtým;2;TYT;30;1;;1;;;1913406;235.35253;;
;Hizan Meslek Yüksekokulu;;;;;;;;;;;;
102190106;  Arýcýlýk;2;TYT;25;1;;1;;163;1924322;234.75085;;
102150426;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;163;1752970;244.28832;;
102150541;  Laborant ve Veteriner Saðlýk;2;TYT;40;1;;1;;163;1395656;265.22868;;
102150435;  Lojistik;2;TYT;30;1;;1;;163;1929834;234.45094;;
102190183;  Mahkeme Büro Hizmetleri;2;TYT;30;1;;1;;163;1284317;272.14438;;
102190134;  Maliye;2;TYT;30;1;;1;;163;1926958;234.60841;;
102150665;  Týbbi Tanýtým ve Pazarlama;2;TYT;40;1;;1;;163;1897415;236.22544;;
;Organize Sanayi Bölgesi Meslek Yüksekokulu;;;;;;;;;;;;
102190169;  Elektrik;2;TYT;40;1;;1;;340;1633868;251.08062;;
102190176;  Gýda Teknolojisi;2;TYT;30;1;;1;;340;1928293;234.53600;;
102190204;  Kaynak Teknolojisi;2;TYT;30;1;;1;;340;...;----;;
;Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
102150683;  Anestezi;2;TYT;40;1;;1;;;399913;351.96827;;
102190211;  Çevre Saðlýðý ve Çevresel Risk Yönetimi Teknikerliði;2;TYT;50;2;;2;;;...;----;;
102150453;  Çocuk Geliþimi;2;TYT;35;1;;1;;;1205321;277.22483;;
102150692;  Engelli Bakýmý ve Rehabilitasyon;2;TYT;60;2;;2;;;1238350;275.08787;;
102150595;  Ýlk ve Acil Yardým;2;TYT;35;1;;1;;;499369;337.51291;;
102150798;  Optisyenlik;2;TYT;40;1;;1;;;1104533;283.93489;;
102150514;  Patoloji Laboratuvar Teknikleri;2;TYT;60;2;;2;;;858728;301.87109;;
102150771;  Sosyal Hizmetler;2;TYT;30;1;;1;;;1411926;264.22765;;
102150805;  Týbbi Görüntüleme Teknikleri;2;TYT;40;1;;1;;;553154;330.86643;;
102150532;  Týbbi Laboratuvar Teknikleri;2;TYT;50;2;;2;;;670753;318.39568;;
102150638;  Yaþlý Bakýmý;2;TYT;60;2;;2;;;889063;299.49618;;
;Sosyal Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
102190148;  Aþçýlýk;2;TYT;30;1;;1;;;1383879;265.95645;;
102150647;  Çaðrý Merkezi Hizmetleri;2;TYT;40;1;;1;;;1705457;246.98016;;
102190031;  Ýþ Saðlýðý ve Güvenliði;2;TYT;30;1;;1;;;1493713;259.29511;;
102190035;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1844671;239.15107;;
102150726;  Saðlýk Kurumlarý Ýþletmeciliði;2;TYT;30;1;;1;;;1670436;248.97770;;
102150823;  Sosyal Güvenlik;2;TYT;50;2;;2;;;1516767;257.92587;;
;Tatvan Meslek Yüksekokulu;;;;;;;;;;;;
102190057;  Bilgisayar Teknolojisi;2;TYT;50;2;;2;;;1621602;251.79338;;
102190041;  Deniz ve Liman Ýþletmeciliði;2;TYT;35;1;;1;;;1860583;238.26995;;
102150198;  Harita ve Kadastro;2;TYT;30;1;;1;;;1648015;250.26312;;
102150286;  Laboratuvar Teknolojisi;2;TYT;35;1;;1;;;1197977;277.69913;;
102150277;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1816596;240.71527;;
102190044;  Saðlýk Bilgi Sistemleri Teknikerliði;2;TYT;40;1;;1;;;1472160;260.57852;;
102190246;  Yapý Tesisat Teknolojisi;2;TYT;35;1;;1;;;...;----;;
;Teknik Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
102150789;  Biyomedikal Cihaz Teknolojisi;2;TYT;30;1;;1;;;1508054;258.44299;;
102150392;  Ýnþaat Teknolojisi;2;TYT;35;1;;1;;;1883729;236.98440;;
102190045;  Makine;2;TYT;30;1;;1;;;1761344;243.81361;;
102150498;  Mekatronik;2;TYT;30;1;;1;;;1707173;246.88005;;
102190046;  Mimari Restorasyon;2;TYT;35;1;;1;;;1936177;234.10264;;
102190050;  Otomotiv Teknolojisi;2;TYT;30;1;;1;;;1793289;242.01441;;
102150708;  Sivil Savunma ve Ýtfaiyecilik;2;TYT;50;2;;;;9;1127307;282.38651;;
102190032;  Tapu ve Kadastro;2;TYT;40;1;;1;;;1470185;260.69723;;
102190033;  Ulaþtýrma ve Trafik Hizmetleri;2;TYT;30;1;;1;;;1957611;232.93685;;
102150505;  Yapý Denetimi;2;TYT;30;1;;1;;;1926286;234.64208;;
;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
;Bolu Meslek Yüksekokulu;;;;;;;;;;;;
100150768;  Bankacýlýk ve Sigortacýlýk;2;TYT;30;1;;1;;;1236219;275.22744;;
100190173;  Ýnsan Kaynaklarý Yönetimi;2;TYT;30;1;;1;;;1156853;280.40749;;
100150486;  Ýþletme Yönetimi;2;TYT;35;1;;1;;;1508796;258.39759;;
100150035;  Kooperatifçilik;2;TYT;30;1;;1;;;1820992;240.47036;;
100150441;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1421667;263.62400;;
100190174;  Saðlýk Kurumlarý Ýþletmeciliði;2;TYT;35;1;;1;;;1153959;280.59551;;
100150071;  Turizm ve Otel Ýþletmeciliði;2;TYT;30;1;;1;;;1447380;262.07232;;
;Bolu Teknik Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
100150538;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;660491;319.40610;;
100150811;  Elektrik;2;TYT;50;2;;2;;321;1124337;282.58500;;
100150829;  Elektronik Teknolojisi;2;TYT;40;1;;1;;321;1217812;276.42294;;
100190243;  Gýda Teknolojisi;2;TYT;30;1;;1;;321;1268368;273.15316;;
100150865;  Grafik Tasarýmý;2;TYT;50;2;;2;;;869482;301.03615;;
100150777;  Ýç Mekan Tasarýmý;2;TYT;50;2;;2;;;1245307;274.63067;;
100150468;  Otomotiv Teknolojisi;2;TYT;30;1;;1;;;1052484;287.50530;;
100190168;  Peyzaj ve Süs Bitkileri Yetiþtiriciliði;2;TYT;30;1;;1;;;1749723;244.46831;;
100190152;  Tekstil Teknolojisi;2;TYT;30;1;;1;;321;1824216;240.29166;;
;Gerede Meslek Yüksekokulu;;;;;;;;;;;;
100150556;  Ayakkabý Tasarým ve Üretimi;2;TYT;20;1;;1;;;1923960;234.77020;;
100150195;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;875744;300.53572;;
100150423;  Deri Teknolojisi;2;TYT;25;1;;1;;;2082086;226.21073;;
100150495;  Ýþletme Yönetimi;2;TYT;35;1;;1;;;1805434;241.33701;;
100150132;  Kimya Teknolojisi;2;TYT;20;1;;1;;;1389341;265.61920;;
100190169;  Makine Resim ve Konstrüksiyonu;2;TYT;40;1;;1;;;1517399;257.88838;;
100150786;  Moda Tasarýmý;2;TYT;40;1;;1;;;1519860;257.74533;;
100150459;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1732470;245.44510;;
100150477;  Otomotiv Teknolojisi;2;TYT;30;1;;1;;;1338471;268.76444;;
100190214;  Özel Güvenlik ve Koruma;2;TYT;40;1;;1;;2;1458716;261.38858;;
100150856;  Posta Hizmetleri;2;TYT;80;2;;2;;;1972669;232.12276;;
100190175;  Sivil Savunma ve Ýtfaiyecilik;2;TYT;45;2;;;;9;918885;297.22870;;
100150432;  Tekstil Teknolojisi;2;TYT;25;1;;1;;;1865900;237.97590;;
;Mehmet Tanrýkulu Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
100150714;  Aðýz ve Diþ Saðlýðý;2;TYT;40;1;;1;;;505883;336.66639;;
100150874;  Çocuk Geliþimi;2;TYT;25;1;;1;;;899499;298.69315;;
100190215;  Ýlk ve Acil Yardým;2;TYT;30;1;;1;;;434281;346.58561;;
100190122;  Týbbi Dokümantasyon ve Sekreterlik;2;TYT;30;1;;1;;;538045;332.64871;;
100150723;  Týbbi Görüntüleme Teknikleri;2;TYT;40;1;;1;;;488618;338.94302;;
;Mengen Meslek Yüksekokulu;;;;;;;;;;;;
100150202;  Aþçýlýk;2;TYT;80;2;;2;;;759472;310.19049;;
100190250;  Pastacýlýk ve Ekmekçilik;2;TYT;30;1;;1;;;1159382;280.23539;;
;Mudurnu Süreyya Astarcý Meslek Yüksekokulu;;;;;;;;;;;;
100150502;  Ýþletme Yönetimi;2;TYT;30;1;;1;;;1813429;240.89299;;
100150511;  Kümes Hayvanlarý Yetiþtiriciliði;2;TYT;20;1;;1;;;1842927;239.24993;;
100190150;  Laborant ve Veteriner Saðlýk;2;TYT;40;1;;1;;;913508;297.62660;;
100150689;  Mimari Restorasyon;2;TYT;30;1;;1;;;1799740;241.64593;;
100150705;  Ormancýlýk ve Orman Ürünleri;2;TYT;30;1;;1;;;852167;302.41513;;
100150592;  Turizm ve Otel Ýþletmeciliði;2;TYT;25;1;;1;;;1639740;250.74369;;
;Seben Ýzzet Baysal Meslek Yüksekokulu;;;;;;;;;;;;
100190299;  Akýllý Sera Teknolojileri;2;TYT;30;1;;1;;;...;----;;
100190257;  Bitki Koruma;2;TYT;30;1;;1;;;1815323;240.78570;;
100150802;  Ýþ Saðlýðý ve Güvenliði;2;TYT;30;1;;1;;;1328265;269.39941;;
100150847;  Sosyal Güvenlik;2;TYT;60;2;;2;;;1570177;254.79778;;
100150838;  Sosyal Hizmetler;2;TYT;30;1;;1;;;1328244;269.40058;;
;Yeniçaða Yaþar Çelik Meslek Yüksekokulu;;;;;;;;;;;;
100150644;  Dýþ Ticaret;2;TYT;35;1;;1;;;1581760;254.12644;;
100150635;  Gýda Kalite Kontrolü ve Analizi;2;TYT;40;1;;1;;;1601872;252.94162;;
100150608;  Ýnþaat Teknolojisi;2;TYT;35;1;;1;;;1612058;252.35051;;
100150617;  Lojistik;2;TYT;50;2;;2;;;1558582;255.47339;;
;BURDUR MEHMET AKÝF ERSOY ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
;Aðlasun Meslek Yüksekokulu;;;;;;;;;;;;
107350366;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;;1748587;244.53135;;
107350587;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;1283877;272.16983;;
107390126;  Biliþim Güvenliði Teknolojisi;2;TYT;50;2;;2;;;1486162;259.75074;;
107390231;  Büro Yönetimi ve Yönetici Asistanlýðý;2;TYT;35;1;;1;;;1712697;246.56955;;
107390280;  Mahkeme Büro Hizmetleri;2;TYT;30;1;;1;;;1036279;288.63986;;
107351091;  Maliye;2;TYT;30;1;;1;;;1916157;235.19924;;
107351107;  Posta Hizmetleri;2;TYT;60;2;;2;;;2005846;230.32840;;
107390287;  Turizm ve Seyahat Hizmetleri;2;TYT;25;1;;1;;;1826289;240.18016;;
;Altýnyayla Mehmet Tuðrul Güvenlik Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
107390189;  Acil Durum ve Afet Yönetimi;2;TYT;50;2;;2;;;994912;291.58874;;
107390196;  Sivil Savunma ve Ýtfaiyecilik;2;TYT;40;1;;;;9;973944;293.11526;;
;Bucak Emin Gülmez Teknik Bilimler Meslek Yüksekokulu;;;;;;;;;;;;
107390135;  Bilgisayar Destekli Tasarým ve Animasyon;2;TYT;55;2;;2;;;1398402;265.06076;;
107350896;  Biyomedikal Cihaz Teknolojisi;2;TYT;30;1;;1;;;1267572;273.20421;;
107390117;  Elektrik Enerjisi Üretim, Ýletim ve Daðýtýmý;2;TYT;50;2;;2;;;1649233;250.19572;;
107350842;  Grafik Tasarýmý;2;TYT;80;2;;2;;;1443372;262.32102;;
107350887;  Moda Tasarýmý;2;TYT;30;1;;1;;;1659209;249.62534;;
107350912;  Saðlýk Bilgi Sistemleri Teknikerliði;2;TYT;60;2;;2;;;1441469;262.43039;;
107390343;  Sanal ve Artýrýlmýþ Gerçeklik;2;TYT;30;1;;1;;;...;----;;
107390238;  Web Tasarýmý ve Kodlama;2;TYT;50;2;;2;;;1294501;271.50626;;
107390350;  Web Tasarýmý ve Kodlama (KKTC Uyruklu);2;TYT;2;;;;;5;...;----;;
107390357;  Yapay Zeka Operatörlüðü;2;TYT;30;1;;1;;320;...;----;;
107390364;  Yenilenebilir Enerji Teknikerliði;2;TYT;40;1;;1;;;...;----;;
;Bucak Hikmet Tolunay Meslek Yüksekokulu;;;;;;;;;;;;
107350242;  Çocuk Geliþimi;2;TYT;35;1;;1;;;1176940;279.06278;;
107350251;  Dýþ Ticaret;2;TYT;35;1;;1;;;1743694;244.80700;;
107350621;  Halkla Ýliþkiler ve Tanýtým;2;TYT;50;2;;2;;;1873867;237.53135;;
107350481;  Ýþletme Yönetimi;2;TYT;35;1;;1;;;1830329;239.95172;;
107350596;  Lojistik;2;TYT;50;2;;2;;;1793639;241.99307;;
107350427;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1703507;247.08895;;
107390086;  Sivil Hava Ulaþtýrma Ýþletmeciliði;2;TYT;35;1;;1;;10;1059946;286.98161;*;MEDEK
107390136;  Sivil Havacýlýk Kabin Hizmetleri;2;TYT;30;1;;1;;10;707056;314.95018;;
;Burdur Gýda Tarým ve Hayvancýlýk Meslek Yüksekokulu;;;;;;;;;;;;
107390371;  Akýllý Sera Teknolojileri;2;TYT;30;1;;1;;;...;----;;
107390123;  Aþçýlýk;2;TYT;50;2;;2;;;1025284;289.42280;;
