;;ÖÐR.;PUAN;GENEL;OK.BÝR.;ÞEHÝT VE;34 YAÞ;DEPREM-;;2024-YKS;2024-YKS;;AKREDÝ-
PROGRAM;PROGRAM ADI (2);SÜRE ;TÜRÜ;KONT. ;KONT. ;GAZÝ YAK.;ÜSTÜ KADIN;ZEDE ADAY;ÖZEL KOÞUL VE ;BAÞARI;EN KÜÇÜK;TYÇ;TASYON
KODU (1);;(3);(4);(5);(6);KONT. (7);KONT. (8);KONT. (9);AÇIKLAMALAR (10);SIRASI (11);PUAN (12);(13);(14)
;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
100250519;  Makine;2;TYT;30;1;;1;3;;1463454;261.10286;;
100250043;  Mimari Dekoratif Sanatlar;2;TYT;30;1;;1;3;;1866925;237.92026;;
100250052;  Mobilya ve Dekorasyon;2;TYT;25;1;;1;3;;1859158;238.34811;;
100250352;  Sondaj Teknolojisi;2;TYT;25;1;;1;3;;1655505;249.83632;;
;AFYON KOCATEPE ÜNÝVERSÝTESÝ (AFYONKARAHÝSAR) (Devlet Üniversitesi);;;;;;;;;;;;YÖKAK
;Afyon Meslek Yüksekokulu;;;;;;;;;;;;
100490312;  Alternatif Enerji Kaynaklarý Teknolojisi;2;TYT;40;1;;1;;;...;----;;
100450014;  Aþçýlýk;2;TYT;60;2;;2;;;918256;297.27588;;
100450226;  Biyomedikal Cihaz Teknolojisi;2;TYT;32;1;;1;;;1096008;284.49981;;
100451772;  Büro Yönetimi ve Yönetici Asistanlýðý;2;TYT;35;1;;1;;;1202616;277.40230;;
100490179;  Çocuk Geliþimi;2;TYT;35;1;;1;;;870629;300.94791;;
100450041;  Elektrik;2;TYT;40;1;;1;;;1003149;291.00244;;
100451506;  Elektronik Teknolojisi;2;TYT;30;1;;1;;;1172501;279.35679;;
100451296;  Et ve Ürünleri Teknolojisi;2;TYT;30;1;;1;;;1957371;232.95059;;
100450077;  Gýda Teknolojisi;2;TYT;35;1;;1;;;1307391;270.69430;;
100490235;  Hibrid ve Elektrikli Taþýtlar Teknolojisi;2;TYT;40;1;;1;;;806306;306.18321;;
100490185;  Ýç Mekan Tasarýmý;2;TYT;35;1;;1;;;1084120;285.31459;;
100451445;  Ýnþaat Teknolojisi;2;TYT;40;1;;1;;;1520302;257.72129;;
100451348;  Ýþletme Yönetimi;2;TYT;35;1;;1;;;1429201;263.16257;;
100490210;  Mermer Teknolojisi;2;TYT;20;1;;1;;;1762691;243.73777;;
100451224;  Mimari Restorasyon;2;TYT;40;1;;1;;;1570726;254.76549;;
100451233;  Muhasebe ve Vergi Uygulamalarý;2;TYT;30;1;;1;;;1280675;272.36822;;
100450138;  Pazarlama;2;TYT;30;1;;1;;;1534294;256.89667;;
100452028;  Raylý Sistemler Yol Teknolojisi;2;TYT;40;1;;1;;6;1130699;282.15821;;
100450174;  Turizm ve Otel Ýþletmeciliði;2;TYT;30;1;;1;;;1486760;259.71504;;
100450183;  Yerel Yönetimler;2;TYT;60;2;;2;;;1677893;248.55115;;
;Baþmakçý Meslek Yüksekokulu;;;;;;;;;;;;
100451145;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;326;1777108;242.93164;;
100490208;  Dýþ Ticaret;2;TYT;20;1;;1;;326;1837361;239.55685;;
;Bayat Meslek Yüksekokulu;;;;;;;;;;;;
100451499;  Ýnsan Kaynaklarý Yönetimi;2;TYT;30;1;;1;;;1750990;244.39954;;
100451948;  Laborant ve Veteriner Saðlýk;2;TYT;55;2;;2;;;1255001;274.00856;;
;Biliþim Teknolojileri Meslek Yüksekokulu;;;;;;;;;;;;
100490319;  Büyük Veri Analistliði;2;TYT;30;1;;1;;320;...;----;;
100490326;  Oyun Geliþtirme ve Programlama;2;TYT;30;1;;1;;320;...;----;;
;Bolvadin Meslek Yüksekokulu;;;;;;;;;;;;
100450305;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;;1681804;248.32349;;
100450465;  Bilgisayar Programcýlýðý;2;TYT;60;2;;2;;;1281224;272.33529;;
100451781;  Büro Yönetimi ve Yönetici Asistanlýðý;2;TYT;20;1;;1;;;1549418;256.01141;;
100490186;  Çaðrý Merkezi Hizmetleri;2;TYT;30;1;;1;;;1633285;251.11607;;
100450332;  Dýþ Ticaret;2;TYT;20;1;;1;;;1662307;249.44649;;
100451896;  Doðalgaz ve Tesisatý Teknolojisi;2;TYT;20;1;;1;;;1709228;246.76757;;
100450359;  Elektrik;2;TYT;40;1;;1;;;1465204;260.99969;;
100450368;  Gýda Teknolojisi;2;TYT;35;1;;1;;;1815413;240.78053;;
100451454;  Ýnþaat Teknolojisi;2;TYT;30;1;;1;;;1867697;237.87790;;
100490333;  Kaynak Teknolojisi;2;TYT;40;1;;1;;;...;----;;
100451242;  Muhasebe ve Vergi Uygulamalarý;2;TYT;25;1;;1;;;1758665;243.96713;;
100490340;  Otonom Sistemler Teknikerliði;2;TYT;40;1;;1;;320;...;----;;
100490347;  Yenilenebilir Enerji Teknikerliði;2;TYT;30;1;;1;;;...;----;;
;Çay Meslek Yüksekokulu;;;;;;;;;;;;
100451093;  Çocuk Geliþimi;2;TYT;35;1;;1;;;1276766;272.61397;;
100450474;  Elektrik;2;TYT;40;1;;1;;;1558098;255.50045;;
100451303;  Kimya Teknolojisi;2;TYT;20;1;;1;;;1675869;248.66306;;
100451251;  Muhasebe ve Vergi Uygulamalarý;2;TYT;20;1;;1;;;1806617;241.27301;;
100451339;  Otomotiv Teknolojisi;2;TYT;30;1;;1;;;1575061;254.51618;;
;Dazkýrý Meslek Yüksekokulu;;;;;;;;;;;;
100451136;  Elektrik;2;TYT;40;1;;1;;;1610087;252.46728;;
100490224;  Ýnþaat Teknolojisi;2;TYT;25;1;;1;;;1908856;235.59861;;
;Dinar Meslek Yüksekokulu;;;;;;;;;;;;
100451578;  Bilgisayar Programcýlýðý;2;TYT;50;2;;2;;;1297719;271.30191;;
100490263;  Ceza Ýnfaz ve Güvenlik Hizmetleri;2;TYT;30;1;;1;;17;867217;301.20587;;
100451903;  Moda Tasarýmý;2;TYT;20;1;;1;;;1749575;244.47634;;
100451269;  Muhasebe ve Vergi Uygulamalarý;2;TYT;25;1;;1;;;1789622;242.21793;;
;Emirdað Meslek Yüksekokulu;;;;;;;;;;;;
100490188;  Aþçýlýk;2;TYT;40;1;;1;;;1158946;280.26491;;
100451763;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;;1704429;247.03615;;
100451587;  Bilgisayar Programcýlýðý;2;TYT;50;2;;2;;;1362650;267.27287;;
100451754;  Dýþ Ticaret;2;TYT;30;1;;1;;;1820989;240.47047;;
100450589;  Harita ve Kadastro;2;TYT;30;1;;1;;;1618618;251.96494;;
100490195;  Laborant ve Veteriner Saðlýk;2;TYT;50;2;;2;;;1189323;278.26424;;
100451815;  Yapý Denetimi;2;TYT;30;1;;1;;;1911016;235.48164;;
;Ýscehisar Meslek Yüksekokulu;;;;;;;;;;;;
100451824;  Ýþ Makineleri Operatörlüðü;2;TYT;25;1;;1;;;1300290;271.14285;;
100490225;  Kuyumculuk ve Taký Tasarýmý;2;TYT;30;1;;1;;;1936376;234.09240;;
100490198;  Makine Resim ve Konstrüksiyonu;2;TYT;30;1;;1;;;1677563;248.57060;;
100490205;  Mermer Teknolojisi;2;TYT;20;1;;1;;;1918813;235.05209;;
;Sandýklý Meslek Yüksekokulu;;;;;;;;;;;;
100490354;  Akýllý Sera Teknolojileri;2;TYT;30;1;;1;;;...;----;;
100451675;  Bilgisayar Programcýlýðý;2;TYT;50;2;;2;;;1372527;266.64185;;
100452019;  Halkla Ýliþkiler ve Tanýtým;2;TYT;40;1;;1;;;1839140;239.45991;;
100450702;  Harita ve Kadastro;2;TYT;30;1;;1;;;1671356;248.92784;;
100451409;  Ýþletme Yönetimi;2;TYT;20;1;;1;;;1776708;242.95577;;
100490226;  Saðlýk Turizmi Ýþletmeciliði;2;TYT;30;1;;1;;;1682289;248.29496;;
100490361;  Tarým Makineleri ve Teknolojileri;2;TYT;30;1;;1;;;...;----;;
;Sinanpaþa Meslek Yüksekokulu;;;;;;;;;;;;
100451806;  Bilgisayar Programcýlýðý;2;TYT;50;2;;2;;;1374398;266.52870;;
100490227;  Ýnternet ve Að Teknolojileri;2;TYT;50;2;;2;;;1713855;246.50419;;
;Sultandaðý Meslek Yüksekokulu;;;;;;;;;;;;
100450783;  Bankacýlýk ve Sigortacýlýk;2;TYT;25;1;;1;;;1847976;238.96740;;
100450792;  Gýda Teknolojisi;2;TYT;30;1;;1;;;1866169;237.96166;;
100451684;  Otobüs Kaptanlýðý;2;TYT;20;1;;1;;;1914431;235.29629;;
;Þuhut Meslek Yüksekokulu;;;;;;;;;;;;
100451172;  Gýda Teknolojisi;2;TYT;35;1;;1;;;1819489;240.55413;;
100451912;  Laborant ve Veteriner Saðlýk;2;TYT;50;2;;2;;;1125748;282.48978;;
100490189;  Reklamcýlýk;2;TYT;25;1;;1;;;1801074;241.57561;;
;AFYONKARAHÝSAR SAÐLIK BÝLÝMLERÝ ÜNÝVERSÝTESÝ (Devlet Üniversitesi);;;;;;;;;;;;
;Atatürk Saðlýk Hizmetleri Meslek Yüksekokulu;;;;;;;;;;;;
112690288;  Aðýz ve Diþ Saðlýðý;2;TYT;60;2;;2;;;541189;332.27761;;
112690304;  Dijital Saðlýk Sistemleri Teknikerliði;2;TYT;30;1;;1;;;...;----;;
112690179;  Diyaliz;2;TYT;60;2;;2;;;667668;318.70224;;
112651199;  Elektronörofizyoloji;2;TYT;30;1;;1;;;763955;309.80871;;
112651621;  Fizyoterapi;2;TYT;50;2;;2;;;660189;319.43613;;
112690290;  Hasta Bakýmý;2;TYT;40;1;;1;;31;996875;291.44787;;
112690180;  Ýlk ve Acil Yardým;2;TYT;40;1;;1;;;464609;342.20316;;
112651603;  Ortopedik Protez ve Ortez;2;TYT;60;2;;2;;;760932;310.06759;;
